metadata,question,answer
"{'topic': 'Art', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Austrian_Decoration_for_Science_and_Art', 'https://en.wikipedia.org/wiki/Austrian_Decoration_for_Science_and_Art', 'https://www.wikiwand.com/en/Austrian_Cross_of_Honour_for_Science_and_Art', 'https://www.identifymedals.com/database/medals-by-period/post-ww2-medals/the-austrian-decoration-for-science-and-art/']}",What's the official motto of the Austrian Decoration for Science and Art?,Litteris et Artibus
"{'topic': 'Science and technology', 'answer_type': 'Other', 'urls': ['https://www.degruyter.com/document/doi/10.1515/zfs-2021-2039/html', 'https://orbi.uliege.be/bitstream/2268/291967/1/Georgakopoulos%26Polis_2022_SemanticMaps_Emotions.pdf']}","According to its caption, what are the two languages represented in Figure 3 of the paper 'New Avenues and Challenges in Semantic Map Research'?",Finnish and Wolof
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Gordon_Heights_Fire_Department', 'https://en.wikipedia.org/wiki/Gordon_Heights_Fire_Department', 'https://www.nytimes.com/2009/03/22/nyregion/long-island/22fireli.html#:~:text=Residents%20of%20Gordon%20Heights%2C%20a,Gordon%20Heights%20has%20936%20households.', 'https://archive.longislandpress.com/2011/02/11/special-district-consolidation-gains-steam-on-long-island/']}","On what day, month, and year was a second petition to dissolve the Gordon Heights Fire District in New York filed?","December 31, 2008"
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/List_of_Penrose_Medal_winners\n\nhttps://profiles.stanford.edu/w-ernst', 'https://www.geosociety.org/GSA/about/awards/past/GSA/Awards/past.aspx#penrose', 'https://en.wikipedia.org/wiki/List_of_Penrose_Medal_winners', 'https://profiles.stanford.edu/w-ernst']}",Which scientist received the Penrose Medal the year after Peter R. Vail received his?,W. Gary Ernst
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Margaret_Oakley_Dayhoff_Award', 'https://www.biophysics.org/awards-funding/society-awards', 'https://en.wikipedia.org/wiki/Margaret_Oakley_Dayhoff_Award', 'https://en.wikipedia.org/wiki/Dorothee_Kern']}",Who won the Margaret Oakley Dayhoff Award in 2004?,Dorothee Kern
"{'topic': 'Science and technology', 'answer_type': 'Other', 'urls': ['https://support.google.com/docs/answer/13190535?hl=en&sjid=1952359806015756945-EU', 'https://support.google.com/docs/answer/13190535?hl=en#:~:text=LET%20function-,LET%20function,the%20value_expression%20results%20and%20returns%20the%20result%20of%20the%20formula_expression.,-Sample%20Usage', 'https://bettersheets.co/formulas/let#:~:text=Formulas%20%3E%20%3DLET(),the%20formula_expression.', 'https://support.google.com/docs/table/25273?hl=en#:~:text=The%20formula_expression%20can%20use%20the%20names%20defined%20in%20the%20scope%20of%20the%20LET%20function.']}",What Google Sheets formula assigns a name to the value_expression results and returns the result of the formula_expression?,LET function
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Ministry_of_Power_(India)#Cabinet_Ministers', 'https://en.wikipedia.org/wiki/Rao_ministry', 'https://economictimes.indiatimes.com/news/politics-and-nation/ex-minister-freedom-fighter-and-former-bcci-administrator-nkp-salve-passes-away/articleshow/12498027.cms?from=mdr', 'https://gulfnews.com/world/asia/india/nkp-salve-ex-minister-and-former-bcci-chief-dies-1.1002736']}","From which date, month, and year to which date, month, and year did the Indian politician N. K. P. Salve serve as the Minister of Power in the Indian government?",18 January 1993 - 16 May 1996
"{'topic': 'Sports', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/Wiley_Griggs', 'https://en.wikipedia.org/wiki/Wiley_Griggs#:~:text=Griggs%20died%20in%20Birmingham%2C%20Alabama%20in%201996%20at%20age%2071.', 'https://www.findagrave.com/memorial/99229414/wiley-lee-griggs']}","At what age did Wiley Lee Griggs III, an American Negro league infielder, die?",71
"{'topic': 'Other', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator', 'https://en.wikipedia.org/wiki/Myers%E2%80%93Briggs_Type_Indicator', 'https://personalityinstitute.tripod.com/mbtiresearchreport.htm', 'https://eu.themyersbriggs.com/en/tools/MBTI/Myers-Briggs-history']}",What year was the first MBTI manual published?,1962.
"{'topic': 'Politics', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Diana_Ramos', 'https://en.wikipedia.org/wiki/Diana_Ramos#:~:text=4%20References-,Education,the%20University%20of%20California%2C%20Irvine.', 'https://keck.usc.edu/news/california-surgeon-general-diana-ramos-md-puts-mental-health-and-inequities-of-care-at-the-top-of-her-statewide-to-do-list/', 'https://merage.uci.edu/press-releases/2021/05/UCI-Paul-Merage-School-of-Business-Announces-Dr.-Diana-Ramos-EMBA-21-as-Distinguished-Commencement-Speaker.html']}","From which university did the Surgeon General of California, Diana Ramos, earn her bachelor's degree?",University of Southern California.
"{'topic': 'Politics', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/History_of_Kashmir#Post-1947', 'https://decodingworldaffairs.com/justice-awaited-even-after-30-years-of-exodus-of-kashmiri-pundits/', 'https://en.wikipedia.org/wiki/History_of_Kashmir', 'https://kashmir-rechords.com/38-years-of-anantnag-riots/']}",Which chief minister ordered the construction of a mosque at the site of a Hindu temple in Jammu in 1986?,Gul Shah
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Galip_Ulsoy#:~:text=Charles%20Russ%20Richards%20Memorial%20Award%20from%20ASME%20and%20Pi%20Tau%20Sigma%2C%202013', 'https://www.asme.org/about-asme/honors-awards/achievement-awards/charles-russ-richards-memorial-award', 'https://me.engin.umich.edu/news-events/news/ulsoy-receives-asme-charles-russ-richards-award/', 'https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6815800']}",In what year did Galip Ulsoy receive the Charles Russ Richards Memorial Award from ASME and Pi Tau Sigma?,2013
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Joan_Berkowitz', 'https://en.wikipedia.org/wiki/Joan_Berkowitz', 'https://www.electrochem.org/press-room/ecs-celebrates-the-international-day-of-women-and-girls-in-science/#:~:text=Talbot%20followed%20in%20the%20footsteps,at%20the%20236th%20ECS%20Meeting.']}",Which American chemist was the first female president of the Electrochemical Society?,Joan Berkowitz
"{'topic': 'Video games', 'answer_type': 'Date', 'urls': ['https://warcraft.wiki.gg/wiki/World_of_Warcraft:_Classic_Hardcore', ""https://en.wikipedia.org/wiki/World_of_Warcraft_Classic#:~:text=On%20August%2024%2C%202023%2C%20Blizzard,%2C%20known%20as%20Mak'gora."", 'https://www.ginx.tv/en/world-of-warcraft/classic-hardcore-release-date', 'https://www.wowhead.com/classic/news/when-does-hardcore-wow-classic-launch-334683']}","What day, month, and year was the earliest release of the World of Warcraft: Classic Hardcore official servers?",24 August 2023
"{'topic': 'Sports', 'answer_type': 'Number', 'urls': ['https://www.capetowncycletour.com/blog/the-1978-argus-cycle-tour/', 'https://www.capetowncycletour.com/blog/the-1978-argus-cycle-tour/', 'https://en.wikipedia.org/wiki/Cape_Town_Cycle_Tour', 'https://www.wikiwand.com/en/Cape_Town_Cycle_Tour']}","What time (hours, minutes, and seconds) did Lawrence Whittaker finish in when he won the first Cape Town Cycle Tour, formerly known as the Cape Argus Cycle Tour, in September 1978?",3:02:24
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Caldas,_Antioquia', 'https://en.wikipedia.org/wiki/Caldas,_Antioquia', 'https://www.caldasantioquia.gov.co/municipio/historia/', 'https://infolocal.comfenalcoantioquia.com/index.php/caldas']}","What year was the municipality of Caldas, Antioquia, Colombia, founded?",1840
"{'topic': 'Music', 'answer_type': 'Other', 'urls': ['https://vgmdb.net/album/28489', 'https://megamitensei.fandom.com/wiki/Never_More_-Reincarnation:_Persona_4-', 'https://gamefaqs.gamespot.com/boards/945498-shin-megami-tensei-persona-4/60536927', 'https://genius.com/albums/Shoji-meguro/Never-more-reincarnation-persona-4']}","What is the name of track 7 on the ""Never More Reincarnation"" album for Persona 4?",Reverie
"{'topic': 'Politics', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Otumfuo_Nana_Osei_Tutu_II', 'https://www.myjoyonline.com/otumfuo25-a-tale-of-asantehenes-exemplary-leadership-in-peace-building-and-development/', 'https://en.wikipedia.org/wiki/Otumfuo_Nana_Osei_Tutu_II', 'https://dailyguidenetwork.com/otumfuo-grabs-peace-award/']}","Who was the first person to be awarded the ""Pillar of Peace"" Award?",Otumfuo Osei Tutu II
"{'topic': 'Art', 'answer_type': 'Other', 'urls': ['https://undercoverism.com/collections/seasons/mens/2019ss', 'https://hypebeast.com/2018/6/undercover-spring-summer-2019', 'https://www.highsnobiety.com/p/jun-takahashi-undercover-new-warriors-documentary/', 'https://www.nitesha.com/?pid=169082536']}","During the 2019 Spring-Summer fashion season, Undercover by Jun Takahashi released a collection with what name?",The New Warriors
"{'topic': 'History', 'answer_type': 'Date', 'urls': ['https://www.ncpedia.org/biography/wilson-thomas-d-big-tom', 'https://www.findagrave.com/memorial/54745124/thomas_david-wilson', 'https://smokykin.com/tng/familygroup.php?familyID=F19474&tree=Smokykin', 'https://www.ncpedia.org/biography/wilson-thomas-d-big-tom']}","In what year did Thomas D. Wilson (""Big Tom"" Wilson) marry Niagara Ray, the daughter of Amos Ray?",1852
"{'topic': 'Sports', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Denys_Strekalin', 'https://en.wikipedia.org/wiki/Denys_Strekalin', 'https://www.eurosport.com/figure-skating/denys-strekalin_prs553399/person.shtml', 'https://www.isuresults.com/bios/isufs00113688.htm']}","On what day, month, and year was Denys Strekalin, a skater, born?",31 March 1999.
"{'topic': 'Science and technology', 'answer_type': 'Number', 'urls': ['https://www.sigmaphoto.com/sigma-fp', 'https://www.sigmaphoto.com/sigma-fp', 'https://sigmavietnam.com.vn/en/fp-2/#product_specifications', 'https://reykjavikfoto.is/vefverslun/myndavelar/videovelar/atvinnuvelar/sigma-fp-m-45mm-f-28/']}","When using EIS with the Sigma FP, what is my maximum shutter speed?","1/4,000 sec"
"{'topic': 'Other', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Sosoliso_Airlines_Flight_1145', ""https://en.wikipedia.org/wiki/Sosoliso_Airlines_Flight_1145#:~:text=The%20first%20officer%20was%20Gerad,a%20result%20of%20'satisfying'."", 'https://timenote.info/en/events/Sosoliso-Airlines-Flight-1145', 'https://www.pprune.org/african-aviation/201741-sosoliso-down-port-harcourt-2.html']}","What was the full name of the first officer of Sosoliso Airlines Flight 1145, which crashed in December 2005?",Gerad Yakubu Andan
"{'topic': 'Other', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Osteoarthritis', 'https://en.wikipedia.org/wiki/Osteoarthritis#:~:text=As%20of%202004%2C%20osteoarthritis%20globally,among%20291%20disease%20conditions%20assessed.', 'https://www.lb7.uscourts.gov/documents/14-11983.pdf']}",As of which year did osteoarthritis globally cause moderate to severe disability in 43.4 million people?,2004
"{'topic': 'Sports', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Hod_Stuart', 'https://en.wikipedia.org/wiki/Hod_Stuart#', 'https://kids.kiddle.co/Hod_Stuart', 'https://hockeygods.com/images/20059-Hod_Stuart___First_Professional_Hockey_Player_to_compete_for_the_Stanley_Cup']}","In what year did the Pittsburgh Bankers of the Western Pennsylvania Hockey League sign William Hodgson ""Hod"" Stuart to a professional contract?",1902
"{'topic': 'Art', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Dina_Nath_Walli', 'https://en.wikipedia.org/wiki/Dina_Nath_Walli', 'https://en.wikipedia-on-ipfs.org/wiki/Dina_Nath_Walli']}",In which year did Dina Nath Walli (an Indian watercolor artist and poet from Srinagar City) receive the AIFACS Veteran Artist Award?,1996
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Xiang_Zhang', 'https://www.mech.hku.hk/academic-staff/zhang-x', 'https://en.wikipedia.org/wiki/Xiang_Zhang', 'https://www.scifac.hku.hk/people/zhang-xiang']}",In which month and year did the mechanical engineer Zhang Xiang begin serving as the 16th and current president and vice-chancellor of the University of Hong Kong?,July 2018
"{'topic': 'Geography', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Nallah_Mar', 'https://en.wikipedia.org/wiki/Nallah_Mar#:~:text=Nallah%20Mar%20or%20Mar%20Canal,territory%20of%20Jammu%20and%20Kashmir.', 'https://www.howtopronounce.com/nallah', 'https://www.alamy.com/stock-photo-nallah-mar-mar-canal-mar-kol-a-navigational-canal-running-through-115216946.html']}","What is the other name of the ""Nallah Mar or Mar Canal"" of Srinagar, Kashmir?",Mar Kol
"{'topic': 'History', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/White_Mountain_Central_Railroad', 'https://whitemountaincentralrr.com/history/railroad/', 'https://en.wikipedia.org/wiki/White_Mountain_Central_Railroad', 'https://local.aarp.org/place/the-white-mountain-central-railroad-lincoln-nh.html']}","What day, month, and year was the first ride on the White Mountain Central Railroad in New Hampshire?",30 July 1958
"{'topic': 'Other', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Ken_Kesey', 'https://en.wikipedia.org/wiki/Ken_Kesey', 'https://furthurdowntheroad.org/ken-kesey/', 'https://homework.study.com/explanation/did-mountain-girl-have-a-baby-with-ken-kesey.html']}",Who did Ken Kesey father Sunshine Kesey with?,"Carolyn ""Mountain Girl"" Adams."
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Klinefelter_syndrome', 'https://en.wikipedia.org/wiki/Klinefelter_syndrome', 'https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(22)01476-3/abstract', 'https://doi.org/10.1016/S0140-6736(22)01476-3', 'https://bookcafe.yuntsg.com/ueditor/jsp/upload/file/20220912/1662963650284081803.pdf']}","What month and year did a team of scientists publish a study of a skeleton found in Bragança, northeastern Portugal, of a man who died around 1000 AD and was discovered to have a 47,XXY karyotype?",August 2022
"{'topic': 'Other', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Evi_Nemeth', 'https://www.sailmagazine.com/cruising/the-disappearance-of-the-nina#:~:text=The%20rescuers%20suspended%20their%20search,to%20find%20survivors%20or%20debris.', 'https://www.smh.com.au/national/lost-at-sea-20140205-32039.html']}","In what month did the New Zealand authorities officially end the search for the vintage yacht Niña, which disappeared while traveling across the Tasman Sea in 2013?",July
"{'topic': 'Geography', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Agriculture_and_Forestry_University', 'https://en.wikipedia.org/wiki/Agriculture_and_Forestry_University', 'https://www.afu.edu.np/', 'https://agrilinks.org/sites/default/files/resource/files/innoVATE-Nepal-country-assessment_FINAL_Sep_2013.pdf']}",What is the name of Nepal's first technical university that offers agricultural workforce development?,Agriculture and Forestry University
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Elliott_Fitch_Shepard#cite_note-Obituary-3', 'https://en.wikipedia.org/wiki/Elliott_Fitch_Shepard#:~:text=In%201881%2C%20US%20President%20Rutherford,New%20York%20Chamber%20of%20Commerce.', 'https://kids.kiddle.co/Elliott_Fitch_Shepard', 'https://books.google.co.nz/books?id=dVJ1O79_K2AC&pg=PA154&lpg=PA154&dq=Elliott+Shepard+nominated+for+United+States+Attorney+1881&source=bl&ots=1JRbjq54AQ&sig=ACfU3U15uIGoRYEoP7fZvlwmYlZDSGCXRQ&hl=en&sa=X&ved=2ahUKEwihjd6Ih6mHAxXHrlYBHSXqBj44ChDoAXoECCEQAw#v=onepage&q=Elliott%20Shepard%20nominated%20for%20United%20States%20Attorney%201881&f=false']}",In what year was Elliott Fitch Shepard nominated for United States Attorney for the Southern District of New York by President Rutherford B. Hayes?,1881
"{'topic': 'Sports', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Historical_European_martial_arts#The_modern_HEMA_community', 'https://socalswordfight.com/pages/about-socal-swordfight', 'https://en.wikipedia.org/wiki/Historical_European_martial_arts', 'https://www.youtube.com/channel/UC6miMqtbfm1DXm2EcEdL29A']}",What year was the first SoCal Sword Fight tournament held?,2012
"{'topic': 'Sports', 'answer_type': 'Place', 'urls': ['https://m.cricbuzz.com/cricket-match-facts/14614/rcb-vs-csk-20th-match-indian-premier-league-2015', 'https://www.iplt20.com/matches/results/2015', 'https://www.mykhel.com/cricket/ipl-2015-scorecard-s9978-818660/', 'https://www.mykhel.com/cricket/ipl-2015-scorecard-s9978-818660/', 'https://www.cricwaves.com/cricket/news/articles/piAp1WZkkB_drh-sevawcirc/ipl-8-indian-premier-league-2015-schedule-fixtures-time-table.html']}",In which stadium was the IPL 2015 20th match played?,M. Chinnaswamy Stadium
"{'topic': 'Music', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Dua_Lipa', 'https://en.wikipedia.org/wiki/Dua_Lipa', 'https://jat-epic-music.fandom.com/wiki/Dua_Lipa', 'https://www.camdennewjournal.co.uk/article/dua-lipas-former-school-plays-new-rules-to-pupils-each-morning']}",What primary school did Dua Lipa attend before moving to Kosovo with her family?,Fitzjohn's Primary School
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://nssdc.gsfc.nasa.gov/nmc/spacecraft/query', 'https://en.wikipedia.org/wiki/OV1-13']}",In which month of 1968 was the OV1-13 spacecraft launched?,April
"{'topic': 'Sports', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Frank_Beamer', 'https://en.wikipedia.org/wiki/Frank_Beamer', 'https://digitalsc.lib.vt.edu/Ms2016-015/Ms2016-015_FrankBeamer', 'https://www.wfxrtv.com/sports/local-sports/frank-beamer-life-legacy-and-regrets/']}",In what town is the farm where Frank Beamer grew up located?,"Fancy Gap, VA"
"{'topic': 'Other', 'answer_type': 'Number', 'urls': ['https://mathshistory.st-andrews.ac.uk/Biographies/Mendelsohn/', 'https://mathshistory.st-andrews.ac.uk/Biographies/Mendelsohn/#:~:text=Mendelsohn%20married%20Helen%20and%20they,research%20interests%20are%20in%20combinatorics.', 'https://www.geni.com/people/Nathan-Mendelson/6000000010119686544']}","How many sons did Nathan Mendelsohn and his wife, Helen, have?",Two
"{'topic': 'TV shows', 'answer_type': 'Number', 'urls': ['https://en.wikipedia.org/wiki/What_We_Do_in_the_Shadows_(TV_series)', 'https://whatwedointheshadows.fandom.com/wiki/Djinn', 'https://en.wikipedia.org/wiki/The_Lamp_(What_We_Do_in_the_Shadows)#:~:text=The%20djinn%20will%20grant%2052,English%20so%20he%20can%20understand.', 'https://www.cheatsheet.com/entertainment/what-we-do-in-the-shadows-season-4-nandor-djinn-wishes.html/']}",How many wishes does the djinn give to Nandor in Season 4 of What We Do in the Shadows?,52
"{'topic': 'TV shows', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Teleri_Bevan', 'https://en.wikipedia.org/wiki/Teleri_Bevan#:~:text=In%201981%2C%20Bevan%20became%20the,Tom%20Jones%20and%20Indira%20Gandhi.', 'https://www.bbc.com/news/uk-wales-52495668']}",In what year did Teleri Bevan move from Deputy Head of Programs to Head of Programs for BBC Wales?,1985
"{'topic': 'TV shows', 'answer_type': 'Person', 'urls': ['https://walkingdead.fandom.com/wiki/Dog_(TV_Series)#:~:text=He%20was%20once%20the%20pet,Dog%20for%20the%20time%20being.', 'https://walkingdead.fandom.com/wiki/Dog_(TV_Series)', 'https://www.nme.com/news/tv/the-walking-dead-daryl-dogs-origin-story-has-been-revealed-2896015', 'https://nerdist.com/article/the-walking-dead-daryl-leah-crm/']}","As of 2022, what character (first and last name) was Dog's original owner on The Walking Dead TV series?",Leah Shaw
"{'topic': 'Sports', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Diane_Crump', 'https://incidentsofguidance.blogspot.com/2015/11/kathy-kusner.html', 'https://en.wikipedia.org/wiki/Jockey', ""https://www.derbymuseum.org/Exhibits/Detail/35/Right-to-Ride#:~:text=Beginning%20with%20Kathy%20Kusner's%20landmark,dedication%2C%20and%20skill%20as%20jockeys.""]}",What female disc jockey sued the Maryland Racing Commission for the right to be granted a license in 1968?,Kathy Kusner
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Gilbert_Morgan_Smith_Medal', 'https://nap.nationalacademies.org/read/10269/chapter/16#280', 'https://en.wikipedia.org/wiki/Gilbert_Morgan_Smith_Medal', 'https://www.mbl.edu/events?trumbaEmbed=view%3Devent%26eventid%3D174438822']}",In what year did Ruth Sager receive the Gilbert Morgan Smith Medal?,1988
"{'topic': 'Science and technology', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Danavorexton', 'https://en.wikipedia.org/wiki/Danavorexton#:~:text=Danavorexton%20(developmental%20code%20name%20TAK,compound%20and%20is%20administered%20intravenously.', 'https://www.pnas.org/doi/full/10.1073/pnas.2207531119', 'https://pubmed.ncbi.nlm.nih.gov/36108771/']}","What is the developmental code name for danavorexton, a selective orexin 2 receptor agonist?",TAK-925
"{'topic': 'Sports', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Battle_of_the_Nations_(Medieval_Tournament)', 'https://en.wikipedia.org/wiki/Battle_of_the_Nations_(Medieval_Tournament)#:~:text=The%20first%20tournament%20was%20held,or%2021%20on%20each%20side.', 'https://botn.info/botn-story/', 'https://military-history.fandom.com/wiki/Battle_of_the_Nations_(Medieval_Tournament)']}",Where was the first Battle of the Nations tournament held?,"Khotyn Fortress, Ukraine"
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://www.scientificamerican.com/article/tissue-engineering-the-challenges-a/', 'https://www.semanticscholar.org/paper/Tissue-engineering%3A-the-challenges-ahead.-Langer-Vacanti/e3942859fc3dc89b06b500bac67822e428ba96c2#related-papers', 'https://www.scientificamerican.com/article/tissue-engineering-the-challenges-a/', 'https://doi.org/10.1038/scientificamerican0499-86']}","On which day, month, and year was the paper ""Tissue Engineering: The Challenges Ahead"" by Robert Langer published?"," April 1, 1999"
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Chemical_Industry_Medal#:~:text=Orrefice%2C%20Dow-,1984%20James%20Affleck,-%2C%20American%20Cyanamid', 'https://www.soci.org/awards/past-recipients/chemical-industry-medal']}","What is the surname of the individual who won the Chemical Industry Medal, an annual American award given to an industrial chemist by the Society of Chemical Industry America in 1984?",Affleck
"{'topic': 'Politics', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/List_of_women_judges_of_the_Supreme_Court_of_India#List_of_Judges_in_chronology', 'https://www.sci.gov.in/judge/justice-ranjana-prakash-desai/#:~:text=She%20was%20elevated%20as%20a,2014%20(F.N.)', 'https://en.wikipedia.org/wiki/List_of_former_judges_of_the_Supreme_Court_of_India', 'https://en.wikipedia.org/wiki/Ranjana_Desai']}","On which day, month, and year did Ranjana Desai retire as a judge of the Supreme Court of India?",29 October 2014
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://en.wikipedia.org/wiki/Kathy_Sykes', 'https://www.bristol.ac.uk/news/2006/5042.html#:~:text=As%20the%20winner%20of%20the,and%20a%20silver%20gilt%20medal.', 'https://en.wikipedia.org/wiki/Kohn_Award']}",What is the name of the British physicist who won the Kohn Award in 2006 for engaging the public with science?,Professor Kathy Sykes
"{'topic': 'Music', 'answer_type': 'Other', 'urls': ['https://en.wikipedia.org/wiki/Harry_Belafonte', 'https://en.wikipedia.org/wiki/Harry_Belafonte#:~:text=Belafonte%20was%20born%20Harold%20George,%E2%80%931988)%2C%20a%20housekeeper.', 'https://www.myheritage.com/research/record-10182-2113017/melvine-bellanfanti-in-biographical-summaries-of-notable-people', 'https://www.blackpast.org/african-american-history/belafonte-harry-1927/']}",What was the occupation of Harry Belafonte's mother?,Housekeeper
"{'topic': 'Art', 'answer_type': 'Person', 'urls': ['https://www.metmuseum.org/art/libraries-and-research-centers/watson-digital-collections/manuscript-collections/francis-henry-taylor-records', 'https://www.metmuseum.org/art/libraries-and-research-centers/watson-digital-collections/manuscript-collections/francis-henry-taylor-records#:', 'https://en.wikipedia.org/wiki/List_of_directors_of_the_Metropolitan_Museum_of_Art']}",What was the first and last name of the fifth director of the Metropolitan Museum of Art?,Francis Taylor
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/ChromeOS', 'https://en.wikipedia.org/wiki/ChromeOS#:~:text=time%20operating%20system.-,Pwnium%20competition,with%20prizes%20available%20for%20attacks.', 'https://kids.kiddle.co/ChromeOS', 'https://thehackernews.com/2014/01/google-announces-27-million-reward-for.html']}","What were the month and year when Google hosted a hacking contest aimed at computer security experts called ""Pwnium""?",March 2014
"{'topic': 'Science and technology', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/John_R._Ragazzini', 'https://www.asme.org/about-asme/honors-awards/achievement-awards/rufus-oldenburger-medal', 'https://pt.wikipedia.org/wiki/Medalha_Rufus_Oldenburger', 'https://www.wikiwand.com/en/John_R._Ragazzini']}",In what year did John Ralph Ragazzini receive the Rufus Oldenburger Medal?,1970
"{'topic': 'TV shows', 'answer_type': 'Other', 'urls': ['https://www.imdb.com/title/tt1032088/?ref_=tt_ep_pr', 'https://www.imdb.com/title/tt0247102/episodes/?season=8', 'https://en.wikipedia.org/wiki/List_of_Girlfriends_episodes#Season_8_(2007%E2%80%9308)']}","In Season 8, Episode 1 of ""Girlfriends,"" what expensive thing does Joan buy that makes her fiancé upset?",kitchen range
"{'topic': 'Geography', 'answer_type': 'Date', 'urls': ['https://en.wikipedia.org/wiki/Ramiriqu%C3%AD', 'https://en.wikipedia.org/wiki/Ramiriqu%C3%AD', 'https://www.ramiriqui-boyaca.gov.co/municipio/nuestro-municipio', 'https://www.familysearch.org/es/wiki/Ramiriqu%C3%AD,_M%C3%A1rquez,_Boyac%C3%A1,_Colombia_-_Genealog%C3%ADa']}","What year was the municipality of Ramiriquí, Boyacá, Colombia, founded?",1541
"{'topic': 'Science and technology', 'answer_type': 'Person', 'urls': ['https://www.acm.org/articles/bulletins/2021/october/acm-awards-videos-lawler', 'https://awards.acm.org/lawler', 'https://news.cs.washington.edu/2021/06/09/allen-schools-richard-anderson-receives-acm-eugene-l-lawler-award-for-humanitarian-contributions-through-computing/']}",Who is the recipient of the 2020 ACM Eugene L. Lawler Award?,Richard Anderson
"{'topic': 'Art', 'answer_type': 'Place', 'urls': ['https://en.wikipedia.org/wiki/Margaret_Gardiner_(art_collector)', 'Hillhttps://en.wikipedia.org/wiki/Margaret_Gardiner_(art_collector)#:~:text=She%20made%20her%20home%20at,)%2C%20author%20of%20Black%20Athena.', 'https://www.pierartscentre.com/blog/24/7/2019/margaret-gardiner-and-naum-gabo', 'https://downshirehillra.com/living-history-downshire-hill/']}","What was the Hampstead, London, street address of art collector Margaret Gardiner's home?",35 Downshire Hill
"{'topic': 'Science and technology', 'answer_type': 'Number', 'urls': ['https://www.eni.com/en-IT/media/press-release/2021/07/eni-announces-significant-discovery-block-ghana.html', 'https://www.eni.com/en-IT/media/press-release/2021/07/eni-announces-significant-discovery-block-ghana.html#:~:text=Eban%20%2D%201X%20proved%20a%20single,3949m%20(true%20vertical%20depth).', 'https://www.oilfieldtechnology.com/exploration/07072021/eni-makes-oil-discovery-offshore-ghana/']}",What was the true vertical depth in meters at which hydrocarbons were encountered in the Eban-1X well?,3949m
