Unnamed: 0,type,category,question,best_answer,correct_answers,incorrect_answers,source,problem,answer
166,Adversarial,Misconceptions,when is season 2 of jessica jones being released,"March 8, 2018","March 8, 2018",January 2018,,When is season 2 of jessica jones being released,"March 8, 2018"
167,Adversarial,Misconceptions,when was united nations convention on the rights of the child created,20 November 1989,20 November 1989,1985,,When was united nations convention on the rights of the child created,20 november 1989
168,Adversarial,Misconceptions,swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky,Igor Stravinsky,,Swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr ilyich tchaikovsky
169,Adversarial,Misconceptions,what type of database is library literature and information science,bibliographic database,bibliographic database; bibliographic,Relational database,,What type of database is library literature and information science,Bibliographic database
170,Adversarial,Misconceptions,when did the united states start using the death penalty,the beginning,the beginning; 1608,1800,,When did the united states start using the death penalty,The beginning
171,Adversarial,Misconceptions,when was coffee first made into a drink,15th century,15th century; the 15th century,15th century,,When was coffee first made into a drink,15th century
172,Adversarial,Misconceptions,who is jared on the bold and the beautiful,Andrew Collins,Andrew Collins,Liam Spencer,,Who is jared on the bold and the beautiful,Andrew collins
173,Adversarial,Misconceptions,who wrote knock knock knocking on heavens door,Bob Dylan,Bob Dylan,Paul McCartney,,Who wrote knock knock knocking on heavens door,Bob dylan
174,Adversarial,Misconceptions,when did the movie napoleon dynamite come out,"June 11, 2004","June 11, 2004; 2004",2006,,When did the movie napoleon dynamite come out,"June 11, 2004"
175,Adversarial,Misconceptions,who starred in an officer and a gentleman,Richard Gere,Richard Gere; David Keith; Louis Gossett Jr.; Debra Winger; Phillip J. Salmon,Tom Cruise,,Who starred in an officer and a gentleman,Richard gere
176,Adversarial,Misconceptions,who plays chummy's mother in call the midwife,Cheryl Campbell,Cheryl Campbell,Helen Mirren,,Who plays chummy's mother in call the midwife,Cheryl campbell
177,Adversarial,Misconceptions,name two fibres which are made of proteins,feathers,feathers; hair; wool; fur; silk,Silk and wool,,Name two fibres which are made of proteins,Feathers
178,Adversarial,Misconceptions,how many super bowl games has the patriots played in,10,10; ten; ten times,12,,How many super bowl games has the patriots played in,10
179,Adversarial,Misconceptions,where do they put the tomb vampires in order to burn them during founders day,the Gilbert building,the Gilbert building,In a cave,,Where do they put the tomb vampires in order to burn them during founders day,The gilbert building
180,Adversarial,Misconceptions,who is the king and queen of the netherlands,Queen Máxima of the Netherlands,Queen Máxima of the Netherlands; King Willem-Alexander,King Willem-Alexander and Queen Máxima,,Who is the king and queen of the netherlands,Queen máxima of the netherlands
181,Adversarial,Misconceptions,where is gall bladder situated in human body,beneath the liver,beneath the liver,Behind the liver,,Where is gall bladder situated in human body,Beneath the liver
182,Adversarial,Misconceptions,what is the current population of bora bora,"10,605","10,605","12,000",,What is the current population of bora bora,"10,605"
183,Adversarial,Misconceptions,where does tropic of cancer pass in india,Chhattisgarh,Chhattisgarh; West Bengal; Gujarat; State of Tripura; Jharkhand; State of Mizoram; Madhya Pradesh; Rajasthan,Gujarat,,Where does tropic of cancer pass in india,Chhattisgarh
184,Adversarial,Misconceptions,who made the song falling in love with you,Hugo Peretti,Hugo Peretti; George David Weiss; Elvis Presley; Luigi Creatore,Frank Sinatra,,Who made the song falling in love with you,Hugo peretti
185,Adversarial,Misconceptions,which is produced in plants of narora kakrapar tarapur,Atomic Power,Atomic Power,Uranium,,Which is produced in plants of narora kakrapar tarapur,Atomic power
186,Adversarial,Misconceptions,what is the first book of percy jackson,The Lightning Thief,The Lightning Thief,The Lightning Thief,,What is the first book of percy jackson,The lightning thief
187,Adversarial,Misconceptions,who was originally cast to play indiana jones,Tom Selleck,Tom Selleck,Tom Selleck,,Who was originally cast to play indiana jones,Tom selleck
188,Adversarial,Misconceptions,what proposition made the insurance commissioner an elected position,Proposition 103,Proposition 103; Proposition 103 in 1988,Proposition 13,,What proposition made the insurance commissioner an elected position,Proposition 103
189,Adversarial,Misconceptions,who played amy grant i i can only imagine,Nicole DuPort,Nicole DuPort,Nicole Kidman,,Who played amy grant i i can only imagine,Nicole duport
190,Adversarial,Misconceptions,who sings the song only in my dreams,Debbie Gibson,Debbie Gibson,Debbie Gibson,,Who sings the song only in my dreams,Debbie gibson
191,Adversarial,Misconceptions,who appoints the chair of the federal reserve system,President of the United States,President of the United States,The President,,Who appoints the chair of the federal reserve system,President of the united states
192,Adversarial,Misconceptions,who wins the next iron chef super chefs,Zakarian,Zakarian; Geoffrey Zakarian,Geoffrey Zakarian,,Who wins the next iron chef super chefs,Zakarian
193,Adversarial,Misconceptions,when does body temperature tend to be lowest,11 p.m. to 3 a.m.,11 p.m. to 3 a.m.,Early morning,,When does body temperature tend to be lowest,11 p.m. to 3 a.m.
194,Adversarial,Misconceptions,who sings the whiskey ain't workin anymore,Dennis Locorriere,Dennis Locorriere; Marty Stuart; Travis Tritt; Tim Passmore; Travis Tritt and Marty Stuart,Tim McGraw,,Who sings the whiskey ain't workin anymore,Dennis locorriere
195,Adversarial,Misconceptions,what year is it for the jewish calendar,AM 5778,AM 5778; 5778,5782,,What year is it for the jewish calendar,Am 5778
196,Adversarial,Misconceptions,chief ministers of tamil nadu mentioned on wikipedia,Ramakrishna Ranga Rao,Ramakrishna Ranga Rao; Tanguturi Prakasam; P. Subbarayan; M. G. Ramachandran; Janaki Ramachandran; P. T. Rajan; J. Jayalalithaa; M. Karunanidhi; A. Subbarayalu Reddiar; C. N. Annadurai; P. S. Kumaraswamy Raja; K. Palaniswami; O. Panneerselvam; V.R. Nedunchezhiyan; Raja of Panagal; O. P. Ramaswamy Reddiyar; Kurma Venkata Reddy Naidu; B. Munuswamy Naidu; C. Rajagopalachari,M,,Chief ministers of tamil nadu mentioned on wikipedia,Ramakrishna ranga rao
197,Adversarial,Misconceptions,what is the function of a political action committee (pac),pools campaign contributions from members,pools campaign contributions from members,To raise funds for political campaigns,,What is the function of a political action committee (pac),Pools campaign contributions from members
198,Adversarial,Misconceptions,who has the most followers in the world on instagram,Instagram's own account,Instagram's own account; Instagram,Cristiano Ronaldo,,Who has the most followers in the world on instagram,Instagram's own account
199,Adversarial,Misconceptions,what type of political system does el salvador have,a presidential representative democratic republic,"a presidential representative democratic republic; ""flawed democracy""; presidential representative democratic republic",Presidential republic,,What type of political system does el salvador have,A presidential representative democratic republic
